application_no,contract_ref,subcontractor,site,site_zone,period_from,period_to,application_date,application_total,retention,net_payable,adjustment,retention_released
PA-00416,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2025-01-31,2025-02-13,2025-02-21,47926.44,2396.32,45530.12,0.00,0.00
PA-00417,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2026-03-03,2026-03-21,2026-03-23,447623.14,22381.15,425241.99,0.00,0.00
PA-00418,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2025-01-31,2025-02-07,2025-02-11,89163.28,4458.16,84705.12,0.00,0.00
PA-00419,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2025-12-03,2025-12-10,2025-12-27,54151.18,2707.55,51443.63,0.00,0.00
PA-00420,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z3 Wadi Crossing,2025-12-30,2026-01-07,2026-01-21,200947.96,10047.39,190900.57,0.00,0.00
PA-00421,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z3 Wadi Crossing,2026-05-22,2026-05-28,2026-06-04,154865.19,7743.25,147121.94,0.00,0.00
PA-00422,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z2 North Spur,2025-11-11,2025-11-26,2025-12-03,265763.33,13288.16,252475.17,0.00,0.00
PA-00423,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2025-12-23,2026-01-02,2026-01-06,307316.94,15365.84,291951.10,0.00,0.00
PA-00424,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2025-03-09,2025-03-22,2025-03-28,100041.46,5002.07,95039.39,0.00,0.00
PA-00425,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2025-10-01,2025-10-21,2025-11-01,212385.21,10619.26,201765.95,0.00,0.00
PA-00426,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-05-10,2025-05-12,2025-05-14,53859.84,2692.99,51166.85,0.00,0.00
PA-00427,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z4 Escarpment,2025-10-23,2025-11-05,2025-11-10,220399.80,11019.99,209379.81,0.00,0.00
PA-00428,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2026-02-02,2026-02-13,2026-02-15,93391.21,4669.56,88721.65,0.00,0.00
PA-00429,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2025-11-28,2025-12-12,2025-12-14,228751.58,11437.57,217314.01,0.00,0.00
PA-00430,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2026-02-14,2026-02-25,2026-03-17,169429.45,8471.47,160957.98,0.00,0.00
PA-00431,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-02-15,2025-02-24,2025-02-28,79667.34,3983.36,75683.98,0.00,0.00
PA-00432,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2026-01-26,2026-02-02,2026-02-04,356210.58,17810.52,338400.06,0.00,0.00
PA-00433,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2026-01-10,2026-01-26,2026-02-06,518515.09,25925.75,492589.34,0.00,0.00
PA-00434,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2026-08-02,2026-08-11,2026-08-19,189275.19,9463.75,179811.44,0.00,0.00
PA-00435,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2026-06-03,2026-06-13,2026-06-15,328580.60,16429.03,312151.57,0.00,0.00
PA-00436,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z4 Escarpment,2025-04-28,2025-05-10,2025-05-15,167908.68,8395.43,159513.25,0.00,0.00
PA-00437,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2025-12-25,2026-01-13,2026-01-18,102551.65,5127.58,97424.07,0.00,0.00
PA-00438,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2025-11-14,2025-11-25,2025-12-11,407324.97,20366.24,386958.73,0.00,0.00
PA-00439,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2026-07-24,2026-08-12,2026-08-18,91768.89,4588.44,87180.45,0.00,0.00
PA-00440,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z2 North Spur,2025-12-25,2026-01-02,2026-01-07,71927.03,3596.35,68330.68,0.00,0.00
PA-00441,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2025-10-03,2025-10-11,2025-10-28,152552.11,7627.60,144924.51,0.00,0.00
PA-00442,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2025-09-14,2025-09-24,2025-10-15,635958.25,31797.91,604160.34,0.00,0.00
PA-00443,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2026-04-11,2026-04-25,2026-05-14,280688.88,14034.44,266654.44,0.00,0.00
PA-00444,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2025-02-04,2025-02-18,2025-03-03,99786.00,4989.30,94796.70,0.00,0.00
PA-00445,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z1 Compound,2026-03-16,2026-03-24,2026-04-08,22935.92,1146.79,21789.13,0.00,0.00
PA-00446,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-02-02,2025-02-14,2025-03-01,132177.28,6608.86,125568.42,0.00,0.00
PA-00447,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2025-02-23,2025-03-03,2025-03-11,318382.72,15919.13,302463.59,0.00,0.00
PA-00448,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z2 North Spur,2026-01-31,2026-02-10,2026-02-28,373453.78,18672.68,354781.10,0.00,0.00
PA-00449,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2026-02-09,2026-02-24,2026-03-05,124950.66,6247.53,118703.13,0.00,0.00
PA-00450,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2026-05-07,2026-05-14,2026-05-26,325569.41,16278.47,309290.94,0.00,0.00
PA-00451,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2026-02-24,2026-03-07,2026-03-13,40912.90,2045.64,38867.26,0.00,0.00
PA-00452,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2025-04-11,2025-04-17,2025-05-06,270914.74,13545.73,257369.01,0.00,0.00
PA-00453,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2026-06-12,2026-06-22,2026-06-24,25699.19,1284.95,24414.24,0.00,0.00
PA-00454,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-03-19,2025-03-29,2025-04-03,101487.56,5074.37,96413.19,0.00,0.00
PA-00455,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-03-26,2025-04-04,2025-04-22,84336.57,4216.82,80119.75,0.00,0.00
PA-00456,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2025-03-03,2025-03-11,2025-03-19,127787.11,6389.35,121397.76,0.00,0.00
PA-00457,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z3 Wadi Crossing,2025-03-24,2025-03-31,2025-04-02,412413.25,20620.66,391792.59,0.00,0.00
PA-00458,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2025-12-13,2025-12-19,2025-12-23,268410.22,13420.51,254989.71,0.00,0.00
PA-00459,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2025-02-21,2025-03-09,2025-03-12,124462.58,6223.12,118239.46,0.00,0.00
PA-00460,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2026-02-10,2026-02-23,2026-03-13,283573.13,14178.65,269394.48,0.00,0.00
PA-00461,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2025-11-29,2025-12-07,2025-12-19,147844.12,7392.20,140451.92,0.00,0.00
PA-00462,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2025-10-04,2025-10-11,2025-10-26,69010.84,3450.54,65560.30,0.00,0.00
PA-00463,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-12-06,2025-12-13,2025-12-29,73701.53,3685.07,70016.46,0.00,0.00
PA-00464,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2026-01-17,2026-01-20,2026-02-07,102063.00,5103.15,96959.85,0.00,0.00
PA-00465,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2025-06-15,2025-06-26,2025-07-06,27289.26,1364.46,25924.80,0.00,0.00
PA-00466,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z3 Wadi Crossing,2026-03-20,2026-03-28,2026-04-03,105612.51,5280.62,100331.89,0.00,0.00
PA-00467,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2026-06-12,2026-06-21,2026-07-08,59715.86,2985.79,56730.07,0.00,0.00
PA-00468,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-01-31,2025-02-06,2025-02-26,32093.20,1604.66,30488.54,0.00,0.00
PA-00469,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2026-02-24,2026-03-03,2026-03-08,477430.18,23871.50,453558.68,0.00,0.00
PA-00470,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2026-02-19,2026-03-01,2026-03-12,207102.48,10355.12,196747.36,0.00,0.00
PA-00471,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2025-10-29,2025-11-12,2025-11-17,101588.64,5079.43,96509.21,0.00,0.00
PA-00472,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2025-08-26,2025-09-06,2025-09-12,218905.73,10945.28,207960.45,0.00,0.00
PA-00473,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2026-05-10,2026-05-24,2026-06-02,405218.30,20260.91,384957.39,0.00,0.00
PA-00474,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2026-06-06,2026-06-19,2026-06-22,299866.91,14993.34,284873.57,0.00,0.00
PA-00475,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2025-03-31,2025-04-16,2025-04-22,281615.52,14080.77,267534.75,0.00,0.00
PA-00476,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z3 Wadi Crossing,2026-06-17,2026-06-21,2026-06-26,154625.74,7731.28,146894.46,0.00,0.00
PA-00477,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z3 Wadi Crossing,2026-03-31,2026-04-09,2026-04-12,130855.39,6542.76,124312.63,0.00,0.00
PA-00478,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2025-03-30,2025-04-05,2025-04-09,125328.96,6266.44,119062.52,0.00,0.00
PA-00479,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2026-03-20,2026-03-30,2026-04-15,79591.84,3979.59,75612.25,0.00,0.00
PA-00480,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2025-11-09,2025-11-15,2025-11-18,135039.75,6751.98,128287.77,0.00,0.00
PA-00481,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2025-11-09,2025-11-15,2025-12-02,281896.90,14094.84,267802.06,0.00,0.00
PA-00482,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2025-04-30,2025-05-12,2025-05-23,155493.25,7774.66,147718.59,0.00,0.00
PA-00483,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2025-02-16,2025-03-02,2025-03-16,52827.68,2641.38,50186.30,0.00,0.00
PA-00484,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2025-08-05,2025-08-21,2025-08-31,43158.33,2157.91,41000.42,0.00,0.00
PA-00485,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2026-07-06,2026-07-15,2026-07-31,155723.05,7786.15,147936.90,0.00,0.00
PA-00486,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2025-11-13,2025-11-25,2025-12-03,609278.34,30463.91,578814.43,0.00,0.00
PA-00487,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2026-02-21,2026-03-02,2026-03-16,245353.58,12267.67,233085.91,0.00,0.00
PA-00488,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2025-08-01,2025-08-19,2025-09-04,412479.11,20623.95,391855.16,0.00,0.00
PA-00489,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2026-08-07,2026-08-17,2026-09-04,129105.08,6455.25,122649.83,0.00,0.00
PA-00490,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2025-06-17,2025-06-19,2025-06-23,93719.46,4685.97,89033.49,0.00,0.00
PA-00491,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-03-04,2025-03-07,2025-03-12,69907.86,3495.39,66412.47,0.00,0.00
PA-00492,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2025-07-07,2025-07-27,2025-07-31,123117.75,6155.88,116961.87,0.00,0.00
PA-00493,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2026-04-08,2026-04-14,2026-04-26,232554.59,11627.72,220926.87,0.00,0.00
PA-00494,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2026-07-09,2026-07-16,2026-07-18,153101.72,7655.08,145446.64,0.00,0.00
PA-00495,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2025-09-02,2025-09-08,2025-09-19,191790.32,9589.51,182200.81,0.00,0.00
PA-00496,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2025-05-28,2025-06-01,2025-06-15,244989.11,12249.45,232739.66,0.00,0.00
PA-00497,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2025-04-26,2025-05-13,2025-05-24,189961.27,9498.06,180463.21,0.00,0.00
PA-00498,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2025-02-14,2025-02-23,2025-03-07,103007.62,5150.38,97857.24,0.00,0.00
PA-00499,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-05-10,2025-05-20,2025-05-28,21371.62,1068.58,20303.04,0.00,0.00
PA-00500,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2025-12-30,2026-01-16,2026-01-19,239921.16,11996.05,227925.11,0.00,0.00
PA-00501,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z3 Wadi Crossing,2026-07-27,2026-08-06,2026-08-27,387396.94,19369.84,368027.10,0.00,0.00
PA-00502,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2025-07-31,2025-08-11,2025-08-27,361500.33,18075.01,343425.32,0.00,0.00
PA-00503,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2026-08-03,2026-08-16,2026-08-19,143997.69,7199.88,136797.81,0.00,0.00
PA-00504,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2025-05-29,2025-06-09,2025-06-26,333748.93,16687.44,317061.49,0.00,0.00
PA-00505,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2026-05-30,2026-06-16,2026-06-21,25662.85,1283.14,24379.71,0.00,0.00
PA-00506,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z3 Wadi Crossing,2026-06-18,2026-06-24,2026-06-27,167276.60,8363.83,158912.77,0.00,0.00
PA-00507,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2025-02-07,2025-02-21,2025-03-02,336733.01,16836.65,319896.36,0.00,0.00
PA-00508,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z4 Escarpment,2026-05-15,2026-05-25,2026-06-03,106383.22,5319.16,101064.06,0.00,0.00
PA-00509,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2025-03-04,2025-03-18,2025-03-29,92426.41,4621.32,87805.09,0.00,0.00
PA-00510,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2026-02-04,2026-02-15,2026-03-07,249285.93,12464.29,236821.64,0.00,0.00
PA-00511,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z3 Wadi Crossing,2025-08-14,2025-08-21,2025-09-02,199639.71,9981.98,189657.73,0.00,0.00
PA-00512,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2025-02-19,2025-03-02,2025-03-07,139165.42,6958.27,132207.15,0.00,0.00
PA-00513,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z3 Wadi Crossing,2025-11-18,2025-11-27,2025-12-04,57828.57,2891.42,54937.15,0.00,0.00
PA-00514,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2025-08-05,2025-08-12,2025-08-27,84794.83,4239.74,80555.09,0.00,0.00
PA-00515,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z1 Compound,2025-12-31,2026-01-12,2026-02-01,70854.30,3542.71,67311.59,0.00,0.00
PA-00516,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2025-11-18,2025-11-30,2025-12-08,109543.52,5477.17,104066.35,0.00,0.00
PA-00517,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z3 Wadi Crossing,2026-01-26,2026-02-07,2026-02-20,400663.40,20033.17,380630.23,0.00,0.00
PA-00518,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2025-02-25,2025-03-12,2025-03-21,18994.40,949.72,18044.68,0.00,0.00
PA-00519,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2025-02-18,2025-03-07,2025-03-22,179419.48,8970.97,170448.51,0.00,0.00
PA-00520,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2026-05-12,2026-05-29,2026-06-14,126903.68,6345.18,120558.50,0.00,0.00
PA-00521,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2025-06-18,2025-07-06,2025-07-15,37717.46,1885.87,35831.59,0.00,0.00
PA-00522,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-10-23,2025-10-29,2025-11-01,55397.44,2769.87,52627.57,0.00,0.00
PA-00523,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2026-07-02,2026-07-08,2026-07-14,40758.50,2037.92,38720.58,0.00,0.00
PA-00524,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2026-04-15,2026-04-27,2026-05-15,81172.16,4058.60,77113.56,0.00,0.00
PA-00525,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2025-10-04,2025-10-16,2025-11-03,120841.06,6042.05,114799.01,0.00,0.00
PA-00526,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2026-06-18,2026-06-24,2026-07-05,79865.10,3993.25,75871.85,0.00,0.00
PA-00527,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2025-03-18,2025-03-25,2025-03-29,34927.18,1746.35,33180.83,0.00,0.00
PA-00528,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-01-27,2025-02-01,2025-02-22,246936.70,12346.83,234589.87,0.00,0.00
PA-00529,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2025-09-02,2025-09-16,2025-10-07,306340.01,15317.00,291023.01,0.00,0.00
PA-00530,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2025-08-27,2025-09-01,2025-09-09,231515.53,11575.77,219939.76,0.00,0.00
PA-00531,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z4 Escarpment,2026-02-21,2026-03-10,2026-03-29,307134.94,15356.74,291778.20,0.00,0.00
PA-00532,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2026-04-12,2026-04-20,2026-05-10,407398.58,20369.92,387028.66,0.00,0.00
PA-00533,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2026-05-11,2026-05-19,2026-06-02,292130.98,14606.54,277524.44,0.00,0.00
PA-00534,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2026-01-15,2026-01-22,2026-02-12,185351.80,9267.59,176084.21,0.00,0.00
PA-00535,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2025-08-30,2025-09-11,2025-09-23,405992.04,20299.60,385692.44,0.00,0.00
PA-00536,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2025-08-02,2025-08-12,2025-08-21,225241.85,11262.09,213979.76,0.00,0.00
PA-00537,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2025-11-16,2025-11-22,2025-11-29,136009.75,6800.48,129209.27,0.00,0.00
PA-00538,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z3 Wadi Crossing,2026-02-21,2026-03-10,2026-03-17,276486.08,13824.30,262661.78,0.00,0.00
PA-00539,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2025-02-19,2025-02-27,2025-03-08,36388.66,1819.43,34569.23,0.00,0.00
PA-00540,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2025-09-17,2025-09-24,2025-10-09,94643.86,4732.19,89911.67,0.00,0.00
PA-00541,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2025-09-19,2025-09-27,2025-10-11,324808.11,16240.40,308567.71,0.00,0.00
PA-00542,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2025-10-05,2025-10-13,2025-10-30,142689.02,7134.45,135554.57,0.00,0.00
PA-00543,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z2 North Spur,2025-03-27,2025-04-03,2025-04-16,185447.71,9272.38,176175.33,0.00,0.00
PA-00544,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2025-10-07,2025-10-17,2025-10-31,335928.67,16796.43,319132.24,0.00,0.00
PA-00545,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-06-01,2025-06-09,2025-06-23,117213.09,5860.65,111352.44,0.00,0.00
PA-00546,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2025-01-25,2025-02-06,2025-02-27,161822.46,8091.12,153731.34,0.00,0.00
PA-00547,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2026-08-12,2026-08-20,2026-08-24,322608.40,16130.42,306477.98,0.00,0.00
PA-00548,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2026-07-07,2026-07-19,2026-07-29,80345.03,4017.25,76327.78,0.00,0.00
PA-00549,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z2 North Spur,2026-05-07,2026-05-16,2026-06-02,62915.25,3145.76,59769.49,0.00,0.00
PA-00550,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2026-06-20,2026-06-29,2026-07-02,66329.19,3316.45,63012.74,0.00,0.00
PA-00551,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2025-08-23,2025-09-04,2025-09-22,441814.89,22090.74,419724.15,0.00,0.00
PA-00552,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2025-10-10,2025-10-17,2025-10-27,194461.03,9723.05,184737.98,0.00,0.00
PA-00553,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2026-05-14,2026-05-21,2026-05-30,67020.08,3351.00,63669.08,0.00,0.00
PA-00554,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2026-07-25,2026-07-30,2026-08-02,78492.91,3924.64,74568.27,0.00,0.00
