line_ref,application_no,line_no,work_date,site,item_code,description,unit,site_zone,ground_class,quantity,rate_applied,amount,night_work,record_ref
PA-00786-08,PA-00786,8,2025-04-02,S-03 Access Road,A.13.030,Double handling of stockpiled material,m3,Z4 Escarpment,,378,12.54,4740.12,N,
PA-00786-09,PA-00786,9,2025-04-12,S-03 Access Road,B.22.020,"Formwork to soffits, propped, height to 3.5 m",m2,Z4 Escarpment,,648,117.50,76140.00,N,
PA-00786-10,PA-00786,10,2025-04-12,S-03 Access Road,B.22.010,"Formwork to vertical faces, basic finish",m2,Z4 Escarpment,,294,88.68,26071.92,N,
PA-00786-11,PA-00786,11,2025-04-14,S-03 Access Road,A.14.030,"Geotextile separation membrane, laid and lapped",m2,Z4 Escarpment,,377,18.69,7046.13,N,
PA-00786-12,PA-00786,12,2025-04-14,S-03 Access Road,C.31.030,"uPVC drainage pipe, 150 mm, laid and jointed",lm,Z4 Escarpment,G4 Weathered Rock,163,96.45,15721.35,N,
PA-00786-13,PA-00786,13,2025-04-10,S-03 Access Road,E.51.020,"Traffic management, two-way signals, per day",day,Z4 Escarpment,,1,684.00,684.00,N,
PA-00786-14,PA-00786,14,2025-04-06,S-03 Access Road,A.11.030,"Grubbing up tree roots, girth exceeding 600 mm",no.,Z4 Escarpment,,8,189.44,1515.52,N,
PA-00787-01,PA-00787,1,2025-08-25,S-01 Platform North,B.23.020,"Mesh reinforcement, A393, laid and lapped",m2,Z1 Compound,,776,144.00,111744.00,N,JS-00131
PA-00787-02,PA-00787,2,2025-08-13,S-01 Platform North,D.41.050,Bitumen tack coat between courses,m2,Z1 Compound,,193,6.20,1196.60,N,
PA-00787-03,PA-00787,3,2025-08-12,S-01 Platform North,D.44.010,"Road stud, reflective, bedded in resin",no.,Z1 Compound,,2,31.80,63.60,N,
PA-00787-04,PA-00787,4,2025-08-23,S-01 Platform North,B.22.010,"Formwork to vertical faces, basic finish",m2,Z1 Compound,,512,69.29,35476.48,N,
PA-00787-05,PA-00787,5,2025-08-24,S-01 Platform North,A.12.040,"Excavation in trench, depth exceeding 4 m",m3,Z1 Compound,G3 Cemented Fill,381,82.15,31299.15,N,DX-00105
PA-00787-06,PA-00787,6,2025-08-21,S-01 Platform North,E.52.010,"Joint survey and setting out, chainage band",no.,Z1 Compound,,1,478.00,478.00,N,JS-00127
PA-00788-01,PA-00788,1,2026-07-27,S-04 Drainage Corridor,A.12.060,Trimming of formation to level and gradient,m2,Z2 North Spur,,737,7.31,5387.47,N,
PA-00788-02,PA-00788,2,2026-07-27,S-04 Drainage Corridor,A.12.040,"Excavation in trench, depth exceeding 4 m",m3,Z2 North Spur,G4 Weathered Rock,146,86.56,12637.76,Y,DX-00257
PA-00788-03,PA-00788,3,2026-08-05,S-04 Drainage Corridor,B.22.030,"Formwork to edges and risers, height to 500 mm",lm,Z2 North Spur,,221,45.16,9980.36,N,
PA-00788-04,PA-00788,4,2026-07-27,S-04 Drainage Corridor,E.51.030,"Standing time, tracked excavator and operator",hour,Z2 North Spur,,7,312.00,2184.00,N,PS-00133
PA-00788-05,PA-00788,5,2026-07-27,S-04 Drainage Corridor,B.21.040,"Reinforced concrete to walls, C32/40",m3,Z2 North Spur,,353,474.88,167632.64,N,PR-00350
PA-00788-06,PA-00788,6,2026-08-05,S-04 Drainage Corridor,B.24.010,"Waterstop to construction joints, 230 mm",lm,Z2 North Spur,,366,71.44,26147.04,N,
PA-00788-07,PA-00788,7,2026-08-07,S-04 Drainage Corridor,A.12.050,Excavation for manholes and chambers,m3,Z2 North Spur,G5 Sound Rock,31,55.54,1721.74,N,
PA-00788-08,PA-00788,8,2026-07-28,S-04 Drainage Corridor,B.22.030,"Formwork to edges and risers, height to 500 mm",lm,Z2 North Spur,,63,45.16,2845.08,N,
PA-00788-09,PA-00788,9,2026-07-28,S-04 Drainage Corridor,A.13.010,Disposal of excavated material off site,m3,Z2 North Spur,,125,18.83,2353.75,N,
PA-00788-10,PA-00788,10,2026-07-26,S-04 Drainage Corridor,D.41.030,"Stone mastic asphalt surface course, 40 mm",m2,Z2 North Spur,,81,106.52,8628.12,N,
PA-00788-11,PA-00788,11,2026-08-02,S-04 Drainage Corridor,A.13.010,Disposal of excavated material off site,m3,Z2 North Spur,,29,18.83,546.07,N,
PA-00788-12,PA-00788,12,2026-08-05,S-04 Drainage Corridor,C.31.020,"Ductile iron pipe, 400 mm, laid and jointed",lm,Z2 North Spur,G2 Firm Sabkha,356,226.84,80755.04,N,PT-00264
PA-00789-01,PA-00789,1,2025-10-24,S-05 Compound Extension,D.41.010,"Sub-base, Type 1 granular, 250 mm compacted",m2,Z4 Escarpment,,446,49.22,21952.12,N,CT-00192
PA-00789-02,PA-00789,2,2025-10-25,S-05 Compound Extension,A.12.050,Excavation for manholes and chambers,m3,Z4 Escarpment,G1 Loose Sand,188,67.07,12609.16,N,
PA-00789-03,PA-00789,3,2025-10-27,S-05 Compound Extension,A.12.030,"Excavation in trench, depth 2 m to 4 m",m3,Z4 Escarpment,G1 Loose Sand,402,60.93,24493.86,N,DX-00140
PA-00789-04,PA-00789,4,2025-10-26,S-05 Compound Extension,D.41.030,"Stone mastic asphalt surface course, 40 mm",m2,Z4 Escarpment,,105,122.21,12832.05,N,
PA-00789-05,PA-00789,5,2025-10-30,S-05 Compound Extension,A.15.010,"Earthwork support to trenches, depth to 2 m",m2,Z4 Escarpment,G5 Sound Rock,209,40.70,8506.30,N,
PA-00789-06,PA-00789,6,2025-10-22,S-05 Compound Extension,A.12.040,"Excavation in trench, depth exceeding 4 m",m3,Z4 Escarpment,G2 Firm Sabkha,369,88.58,32686.02,N,DX-00138
PA-00789-07,PA-00789,7,2025-10-29,S-05 Compound Extension,A.12.050,Excavation for manholes and chambers,m3,Z4 Escarpment,G5 Sound Rock,199,67.07,13346.93,N,
PA-00789-08,PA-00789,8,2025-10-30,S-05 Compound Extension,A.12.040,"Excavation in trench, depth exceeding 4 m",m3,Z4 Escarpment,G3 Cemented Fill,259,88.58,22942.22,N,DX-00143
PA-00789-09,PA-00789,9,2025-10-25,S-05 Compound Extension,A.15.010,"Earthwork support to trenches, depth to 2 m",m2,Z4 Escarpment,G3 Cemented Fill,803,40.70,32682.10,N,
PA-00789-10,PA-00789,10,2025-10-29,S-05 Compound Extension,C.32.030,"Precast manhole, 1800 mm diameter, depth to 5 m",no.,Z4 Escarpment,G3 Cemented Fill,3,3993.60,11980.80,N,PT-00147
PA-00790-01,PA-00790,1,2026-03-04,S-03 Access Road,B.27.010,"Movement joint, 20 mm, sealed both faces",lm,Z1 Compound,,287,89.50,25686.50,N,
PA-00790-02,PA-00790,2,2026-02-28,S-03 Access Road,A.12.040,"Excavation in trench, depth exceeding 4 m",m3,Z1 Compound,G1 Loose Sand,204,69.20,14116.80,N,DX-00198
PA-00790-03,PA-00790,3,2026-02-26,S-03 Access Road,C.31.030,"uPVC drainage pipe, 150 mm, laid and jointed",lm,Z1 Compound,G1 Loose Sand,168,54.80,9206.40,N,
PA-00790-04,PA-00790,4,2026-02-28,S-03 Access Road,D.44.010,"Road stud, reflective, bedded in resin",no.,Z1 Compound,,8,31.80,254.40,N,
PA-00790-05,PA-00790,5,2026-02-24,S-03 Access Road,E.53.010,Attendance on statutory undertaker,day,Z1 Compound,,1,389.00,389.00,N,
PA-00790-06,PA-00790,6,2026-02-22,S-03 Access Road,A.14.030,"Geotextile separation membrane, laid and lapped",m2,Z1 Compound,,326,14.60,4759.60,N,
PA-00790-07,PA-00790,7,2026-02-25,S-03 Access Road,A.15.010,"Earthwork support to trenches, depth to 2 m",m2,Z1 Compound,G2 Firm Sabkha,498,31.80,15836.40,N,
PA-00790-08,PA-00790,8,2026-02-24,S-03 Access Road,D.41.020,"Dense bitumen macadam binder course, 60 mm",m2,Z1 Compound,,162,216.60,35089.20,N,
PA-00790-09,PA-00790,9,2026-02-28,S-03 Access Road,B.23.020,"Mesh reinforcement, A393, laid and lapped",m2,Z1 Compound,,798,144.31,115159.38,N,JS-00266
PA-00790-10,PA-00790,10,2026-02-25,S-03 Access Road,B.21.010,"Blinding concrete, C15/20, thickness 75 mm",m2,Z1 Compound,,514,29.60,15214.40,N,
PA-00790-11,PA-00790,11,2026-02-19,S-03 Access Road,C.35.010,CCTV survey of completed drainage run,lm,Z1 Compound,,259,9.40,2434.60,N,CV-00090
PA-00790-12,PA-00790,12,2026-02-25,S-03 Access Road,A.14.030,"Geotextile separation membrane, laid and lapped",m2,Z1 Compound,,108,14.60,1576.80,N,
PA-00790-13,PA-00790,13,2026-02-22,S-03 Access Road,A.12.020,"Excavation in trench, depth not exceeding 2 m",m3,Z1 Compound,G1 Loose Sand,320,34.80,10960.24,N,
PA-00791-01,PA-00791,1,2026-04-03,S-05 Compound Extension,C.35.010,CCTV survey of completed drainage run,lm,Z1 Compound,,376,9.40,3534.40,N,CV-00096
PA-00791-02,PA-00791,2,2026-04-15,S-05 Compound Extension,A.12.030,"Excavation in trench, depth 2 m to 4 m",m3,Z1 Compound,G5 Sound Rock,108,47.60,5140.80,N,DX-00210
PA-00791-03,PA-00791,3,2026-04-05,S-05 Compound Extension,D.42.010,"Precast concrete kerb, bedded and haunched",lm,Z1 Compound,,201,71.20,14311.20,N,
PA-00791-04,PA-00791,4,2026-04-09,S-05 Compound Extension,A.14.020,Backfilling to trenches with selected arisings,m3,Z1 Compound,G1 Loose Sand,347,22.40,7772.80,N,
PA-00791-05,PA-00791,5,2026-04-11,S-05 Compound Extension,E.51.030,"Standing time, tracked excavator and operator",hour,Z1 Compound,,4,312.00,1248.00,N,PS-00107
PA-00791-06,PA-00791,6,2026-04-08,S-05 Compound Extension,E.51.010,"Wet weather standby, plant and operator",hour,Z1 Compound,,2,246.00,492.00,N,MO-00109
PA-00791-07,PA-00791,7,2026-04-12,S-05 Compound Extension,C.31.010,"uPVC drainage pipe, 225 mm, laid and jointed",lm,Z1 Compound,G5 Sound Rock,65,96.11,6247.15,N,
PA-00791-08,PA-00791,8,2026-04-20,S-05 Compound Extension,B.21.040,"Reinforced concrete to walls, C32/40",m3,Z1 Compound,,175,448.00,78400.00,N,PR-00301
PA-00791-09,PA-00791,9,2026-04-04,S-05 Compound Extension,D.42.020,"Precast concrete channel, bedded and haunched",lm,Z1 Compound,,196,64.80,12700.80,N,
PA-00791-10,PA-00791,10,2026-04-02,S-05 Compound Extension,B.23.010,"High-yield reinforcement bar, cut, bent and fixed",tonne,Z1 Compound,,13,4094.00,51011.24,N,JS-00280
PA-00792-01,PA-00792,1,2025-01-27,S-04 Drainage Corridor,A.13.020,"Retention of excavated material on site, stockpiled",m3,Z3 Wadi Crossing,,135,7.33,989.55,N,
PA-00792-02,PA-00792,2,2025-01-30,S-04 Drainage Corridor,D.41.020,"Dense bitumen macadam binder course, 60 mm",m2,Z3 Wadi Crossing,,725,72.71,52714.75,N,
PA-00792-03,PA-00792,3,2025-01-28,S-04 Drainage Corridor,C.32.030,"Precast manhole, 1800 mm diameter, depth to 5 m",no.,Z3 Wadi Crossing,G1 Loose Sand,2,3358.06,6716.12,N,PT-00003
PA-00792-04,PA-00792,4,2025-01-29,S-04 Drainage Corridor,C.31.020,"Ductile iron pipe, 400 mm, laid and jointed",lm,Z3 Wadi Crossing,G4 Weathered Rock,128,336.92,43125.76,N,PT-00004
PA-00792-05,PA-00792,5,2025-01-25,S-04 Drainage Corridor,A.12.030,"Excavation in trench, depth 2 m to 4 m",m3,Z3 Wadi Crossing,G5 Sound Rock,111,88.84,9861.24,N,DX-00007
PA-00792-06,PA-00792,6,2025-02-02,S-04 Drainage Corridor,A.16.010,"Dewatering by wellpoint, per week in operation",week,Z3 Wadi Crossing,,1,1694.60,1694.60,N,DW-00001
PA-00792-07,PA-00792,7,2025-02-01,S-04 Drainage Corridor,A.14.020,Backfilling to trenches with selected arisings,m3,Z3 Wadi Crossing,G1 Loose Sand,119,24.11,2869.09,N,
PA-00792-08,PA-00792,8,2025-02-01,S-04 Drainage Corridor,A.12.030,"Excavation in trench, depth 2 m to 4 m",m3,Z3 Wadi Crossing,G4 Weathered Rock,233,74.94,17461.02,N,DX-00010
PA-00793-01,PA-00793,1,2025-05-30,S-04 Drainage Corridor,E.54.010,"Temporary haul road, maintained, per week",week,Z2 North Spur,,1,876.00,876.00,N,
PA-00793-02,PA-00793,2,2025-06-02,S-04 Drainage Corridor,A.14.020,Backfilling to trenches with selected arisings,m3,Z2 North Spur,G3 Cemented Fill,71,26.59,1887.89,N,
PA-00793-03,PA-00793,3,2025-05-28,S-04 Drainage Corridor,D.41.010,"Sub-base, Type 1 granular, 250 mm compacted",m2,Z2 North Spur,,733,42.09,30851.97,N,CT-00076
PA-00793-04,PA-00793,4,2025-05-31,S-04 Drainage Corridor,B.21.050,"Mass concrete fill to voids, C20/25",m3,Z2 North Spur,,193,313.76,60555.68,N,
PA-00793-05,PA-00793,5,2025-05-31,S-04 Drainage Corridor,C.32.040,"Manhole cover and frame, Class D400, bedded",no.,Z2 North Spur,,5,1682.33,8411.65,N,
PA-00793-06,PA-00793,6,2025-05-29,S-04 Drainage Corridor,E.52.010,"Joint survey and setting out, chainage band",no.,Z2 North Spur,,2,478.00,956.00,N,JS-00080
PA-00793-07,PA-00793,7,2025-05-31,S-04 Drainage Corridor,C.33.010,"Ducting, 4-way 110 mm, bedded in sand",lm,Z2 North Spur,G5 Sound Rock,43,102.11,4390.73,N,
PA-00793-08,PA-00793,8,2025-06-03,S-04 Drainage Corridor,C.32.020,Gully pot and connection to carrier drain,no.,Z2 North Spur,,1,304.22,304.22,N,
PA-00793-09,PA-00793,9,2025-06-01,S-04 Drainage Corridor,B.21.040,"Reinforced concrete to walls, C32/40",m3,Z2 North Spur,,368,474.88,174755.84,N,PR-00089
PA-00793-10,PA-00793,10,2025-06-02,S-04 Drainage Corridor,E.53.010,Attendance on statutory undertaker,day,Z2 North Spur,,1,389.00,389.00,N,
PA-00793-11,PA-00793,11,2025-06-03,S-04 Drainage Corridor,E.51.020,"Traffic management, two-way signals, per day",day,Z2 North Spur,,1,684.00,684.00,N,
PA-00794-01,PA-00794,1,2025-05-12,S-01 Platform North,C.31.030,"uPVC drainage pipe, 150 mm, laid and jointed",lm,Z4 Escarpment,G3 Cemented Fill,74,78.56,5813.44,N,
PA-00794-02,PA-00794,2,2025-05-17,S-01 Platform North,C.34.010,"Headwall to outfall, precast, bedded",no.,Z4 Escarpment,,4,1235.20,4940.80,N,
PA-00794-03,PA-00794,3,2025-05-22,S-01 Platform North,B.24.010,"Waterstop to construction joints, 230 mm",lm,Z4 Escarpment,,24,86.27,2070.48,N,
PA-00794-04,PA-00794,4,2025-05-22,S-01 Platform North,E.53.010,Attendance on statutory undertaker,day,Z4 Escarpment,,1,389.00,389.00,N,
PA-00794-05,PA-00794,5,2025-05-14,S-01 Platform North,D.42.010,"Precast concrete kerb, bedded and haunched",lm,Z4 Escarpment,,324,91.14,29529.36,N,
PA-00794-06,PA-00794,6,2025-05-11,S-01 Platform North,A.14.030,"Geotextile separation membrane, laid and lapped",m2,Z4 Escarpment,,576,18.69,10765.44,N,
PA-00794-07,PA-00794,7,2025-05-21,S-01 Platform North,C.31.010,"uPVC drainage pipe, 225 mm, laid and jointed",lm,Z4 Escarpment,G2 Firm Sabkha,144,113.20,16300.80,N,
PA-00794-08,PA-00794,8,2025-05-18,S-01 Platform North,A.12.020,"Excavation in trench, depth not exceeding 2 m",m3,Z4 Escarpment,G4 Weathered Rock,305,59.41,18120.05,N,
PA-00794-09,PA-00794,9,2025-05-20,S-01 Platform North,C.31.020,"Ductile iron pipe, 400 mm, laid and jointed",lm,Z4 Escarpment,G5 Sound Rock,236,446.49,105371.64,N,PT-00059
PA-00794-10,PA-00794,10,2025-05-14,S-01 Platform North,A.14.010,"Imported granular fill, placed and compacted",m3,Z4 Escarpment,,401,64.69,25940.69,N,CT-00068
PA-00794-11,PA-00794,11,2025-05-11,S-01 Platform North,B.21.030,"Reinforced concrete to slabs, C32/40",m3,Z4 Escarpment,,287,497.92,142903.04,Y,PR-00079
PA-00794-12,PA-00794,12,2025-05-15,S-01 Platform North,B.26.010,"Surface treatment, power float to slabs",m2,Z4 Escarpment,,488,22.02,10745.76,N,
PA-00794-13,PA-00794,13,2025-05-14,S-01 Platform North,E.51.030,"Standing time, tracked excavator and operator",hour,Z4 Escarpment,,3,312.00,936.00,N,PS-00032
PA-00794-14,PA-00794,14,2025-05-23,S-01 Platform North,E.51.020,"Traffic management, two-way signals, per day",day,Z4 Escarpment,,1,684.00,684.00,N,
PA-00795-01,PA-00795,1,2026-05-29,S-01 Platform North,A.11.010,"Site clearance, vegetation and topsoil strip",m2,Z3 Wadi Crossing,,139,4.41,612.99,N,
PA-00795-02,PA-00795,2,2026-05-28,S-01 Platform North,A.13.030,Double handling of stockpiled material,m3,Z3 Wadi Crossing,,325,11.22,3646.50,N,
PA-00795-03,PA-00795,3,2026-05-29,S-01 Platform North,D.41.030,"Stone mastic asphalt surface course, 40 mm",m2,Z3 Wadi Crossing,,52,155.19,8069.88,N,
PA-00795-04,PA-00795,4,2026-05-23,S-01 Platform North,A.12.010,General excavation to reduce level,m3,Z3 Wadi Crossing,G1 Loose Sand,37,23.63,874.31,N,
PA-00795-05,PA-00795,5,2026-05-29,S-01 Platform North,A.12.060,Trimming of formation to level and gradient,m2,Z3 Wadi Crossing,,607,7.90,4795.30,N,
PA-00795-06,PA-00795,6,2026-05-25,S-01 Platform North,A.14.010,"Imported granular fill, placed and compacted",m3,Z3 Wadi Crossing,,252,61.78,15568.56,N,CT-00326
PA-00795-07,PA-00795,7,2026-05-26,S-01 Platform North,D.42.030,"Edging to footway, flat top, bedded",lm,Z3 Wadi Crossing,,244,45.11,11006.84,N,
PA-00796-01,PA-00796,1,2025-06-20,S-05 Compound Extension,A.12.030,"Excavation in trench, depth 2 m to 4 m",m3,Z4 Escarpment,G2 Firm Sabkha,296,60.93,18035.28,N,DX-00076
PA-00796-02,PA-00796,2,2025-06-29,S-05 Compound Extension,B.21.010,"Blinding concrete, C15/20, thickness 75 mm",m2,Z4 Escarpment,,219,37.89,8297.91,N,
PA-00796-03,PA-00796,3,2025-06-21,S-05 Compound Extension,B.21.040,"Reinforced concrete to walls, C32/40",m3,Z4 Escarpment,,361,774.14,279464.54,N,PR-00106
PA-00796-04,PA-00796,4,2025-06-20,S-05 Compound Extension,B.22.020,"Formwork to soffits, propped, height to 3.5 m",m2,Z4 Escarpment,,174,117.50,20445.00,N,
PA-00796-05,PA-00796,5,2025-06-29,S-05 Compound Extension,A.12.040,"Excavation in trench, depth exceeding 4 m",m3,Z4 Escarpment,G1 Loose Sand,374,83.26,31139.24,N,DX-00081
PA-00796-06,PA-00796,6,2025-06-20,S-05 Compound Extension,A.11.010,"Site clearance, vegetation and topsoil strip",m2,Z4 Escarpment,,91,4.93,448.63,N,
PA-00796-07,PA-00796,7,2025-06-22,S-05 Compound Extension,D.41.030,"Stone mastic asphalt surface course, 40 mm",m2,Z4 Escarpment,,244,118.90,29011.60,N,
PA-00796-08,PA-00796,8,2025-06-20,S-05 Compound Extension,A.12.060,Trimming of formation to level and gradient,m2,Z4 Escarpment,,51,8.83,450.33,N,
PA-00796-09,PA-00796,9,2025-06-30,S-05 Compound Extension,D.44.010,"Road stud, reflective, bedded in resin",no.,Z4 Escarpment,,7,40.70,284.90,N,
PA-00796-10,PA-00796,10,2025-06-19,S-05 Compound Extension,B.23.020,"Mesh reinforcement, A393, laid and lapped",m2,Z4 Escarpment,,202,184.47,37262.94,N,JS-00092
PA-00797-01,PA-00797,1,2025-04-02,S-03 Access Road,A.11.010,"Site clearance, vegetation and topsoil strip",m2,Z4 Escarpment,,151,4.93,744.43,N,
PA-00797-02,PA-00797,2,2025-03-28,S-03 Access Road,A.12.040,"Excavation in trench, depth exceeding 4 m",m3,Z4 Escarpment,G5 Sound Rock,96,144.38,13860.48,N,DX-00039
PA-00797-03,PA-00797,3,2025-03-29,S-03 Access Road,A.12.040,"Excavation in trench, depth exceeding 4 m",m3,Z4 Escarpment,G4 Weathered Rock,331,121.79,40312.49,N,DX-00041
PA-00797-04,PA-00797,4,2025-03-30,S-03 Access Road,A.15.020,"Earthwork support to trenches, depth exceeding 2 m",m2,Z4 Escarpment,G4 Weathered Rock,393,87.12,34238.16,N,
PA-00797-05,PA-00797,5,2025-03-29,S-03 Access Road,C.31.030,"uPVC drainage pipe, 150 mm, laid and jointed",lm,Z4 Escarpment,G2 Firm Sabkha,297,70.14,20831.58,N,
PA-00798-01,PA-00798,1,2025-03-02,S-05 Compound Extension,B.26.010,"Surface treatment, power float to slabs",m2,Z4 Escarpment,,439,22.02,9666.78,N,
PA-00798-02,PA-00798,2,2025-02-22,S-05 Compound Extension,B.23.010,"High-yield reinforcement bar, cut, bent and fixed",tonne,Z4 Escarpment,,14,5273.60,73830.40,N,JS-00016
PA-00798-03,PA-00798,3,2025-03-02,S-05 Compound Extension,C.31.030,"uPVC drainage pipe, 150 mm, laid and jointed",lm,Z4 Escarpment,G1 Loose Sand,21,65.94,1384.74,N,
PA-00798-04,PA-00798,4,2025-02-25,S-05 Compound Extension,A.12.060,Trimming of formation to level and gradient,m2,Z4 Escarpment,,360,8.83,3178.80,N,
PA-00798-05,PA-00798,5,2025-03-02,S-05 Compound Extension,B.25.010,Cast-in sockets and holding-down bolt assemblies,no.,Z4 Escarpment,,7,1051.20,7358.40,N,
PA-00798-06,PA-00798,6,2025-02-22,S-05 Compound Extension,D.41.050,Bitumen tack coat between courses,m2,Z4 Escarpment,,780,7.94,6193.20,N,
PA-00798-07,PA-00798,7,2025-02-22,S-05 Compound Extension,A.16.010,"Dewatering by wellpoint, per week in operation",week,Z4 Escarpment,,1,1894.40,1894.40,N,DW-00008
PA-00798-08,PA-00798,8,2025-02-28,S-05 Compound Extension,C.32.010,"Precast manhole, 1200 mm diameter, depth to 3 m",no.,Z4 Escarpment,G4 Weathered Rock,4,3273.60,13094.40,N,
PA-00798-09,PA-00798,9,2025-02-22,S-05 Compound Extension,D.44.010,"Road stud, reflective, bedded in resin",no.,Z4 Escarpment,,3,40.70,122.10,N,
PA-00799-01,PA-00799,1,2026-06-26,S-02 Platform South,E.52.010,"Joint survey and setting out, chainage band",no.,Z2 North Spur,,5,478.00,2390.00,N,JS-00326
PA-00799-02,PA-00799,2,2026-06-28,S-02 Platform South,C.31.030,"uPVC drainage pipe, 150 mm, laid and jointed",lm,Z2 North Spur,G2 Firm Sabkha,157,58.09,9120.13,N,
PA-00799-03,PA-00799,3,2026-06-22,S-02 Platform South,B.24.010,"Waterstop to construction joints, 230 mm",lm,Z2 North Spur,,336,71.44,24003.84,N,
PA-00799-04,PA-00799,4,2026-06-26,S-02 Platform South,B.23.010,"High-yield reinforcement bar, cut, bent and fixed",tonne,Z2 North Spur,,17,4079.26,69347.42,N,JS-00327
PA-00799-05,PA-00799,5,2026-06-26,S-02 Platform South,A.13.020,"Retention of excavated material on site, stockpiled",m3,Z2 North Spur,,124,6.78,840.72,N,
PA-00799-06,PA-00799,6,2026-06-24,S-02 Platform South,B.23.020,"Mesh reinforcement, A393, laid and lapped",m2,Z2 North Spur,,491,153.09,75167.19,N,JS-00325
PA-00799-07,PA-00799,7,2026-06-27,S-02 Platform South,E.51.020,"Traffic management, two-way signals, per day",day,Z2 North Spur,,1,684.00,684.00,N,
PA-00799-08,PA-00799,8,2026-06-25,S-02 Platform South,B.22.030,"Formwork to edges and risers, height to 500 mm",lm,Z2 North Spur,,376,45.16,16980.16,N,
PA-00799-09,PA-00799,9,2026-06-25,S-02 Platform South,B.27.010,"Movement joint, 20 mm, sealed both faces",lm,Z2 North Spur,,167,94.87,15843.29,N,
PA-00799-10,PA-00799,10,2026-06-21,S-02 Platform South,B.22.010,"Formwork to vertical faces, basic finish",m2,Z2 North Spur,,589,73.44,43256.16,N,
PA-00799-11,PA-00799,11,2026-06-28,S-02 Platform South,B.21.010,"Blinding concrete, C15/20, thickness 75 mm",m2,Z2 North Spur,,519,31.38,16286.22,N,
PA-00800-01,PA-00800,1,2026-03-31,S-04 Drainage Corridor,B.21.010,"Blinding concrete, C15/20, thickness 75 mm",m2,Z4 Escarpment,,425,37.89,16103.25,N,
PA-00800-02,PA-00800,2,2026-03-30,S-04 Drainage Corridor,C.31.010,"uPVC drainage pipe, 225 mm, laid and jointed",lm,Z4 Escarpment,G1 Loose Sand,34,121.15,4119.10,N,
PA-00800-03,PA-00800,3,2026-03-30,S-04 Drainage Corridor,C.32.010,"Precast manhole, 1200 mm diameter, depth to 3 m",no.,Z4 Escarpment,G3 Cemented Fill,5,2261.76,11308.80,N,
PA-00800-04,PA-00800,4,2026-03-24,S-04 Drainage Corridor,E.54.010,"Temporary haul road, maintained, per week",week,Z4 Escarpment,,1,948.00,948.00,N,
PA-00800-05,PA-00800,5,2026-03-26,S-04 Drainage Corridor,B.21.050,"Mass concrete fill to voids, C20/25",m3,Z4 Escarpment,,117,378.88,44328.96,N,
PA-00800-06,PA-00800,6,2026-03-26,S-04 Drainage Corridor,C.31.040,"Concrete surround to pipe, Class A bedding",lm,Z4 Escarpment,,94,93.57,8795.58,N,
PA-00800-07,PA-00800,7,2026-03-28,S-04 Drainage Corridor,D.41.030,"Stone mastic asphalt surface course, 40 mm",m2,Z4 Escarpment,,275,169.62,46645.50,N,
PA-00800-08,PA-00800,8,2026-03-27,S-04 Drainage Corridor,D.44.010,"Road stud, reflective, bedded in resin",no.,Z4 Escarpment,,3,40.70,122.10,N,
PA-00800-09,PA-00800,9,2026-04-01,S-04 Drainage Corridor,A.11.010,"Site clearance, vegetation and topsoil strip",m2,Z4 Escarpment,,483,4.93,2381.19,N,
PA-00800-10,PA-00800,10,2026-03-27,S-04 Drainage Corridor,E.51.010,"Wet weather standby, plant and operator",hour,Z4 Escarpment,,6,246.00,1476.00,N,MO-00104
PA-00801-01,PA-00801,1,2026-08-10,S-04 Drainage Corridor,C.32.030,"Precast manhole, 1800 mm diameter, depth to 5 m",no.,Z1 Compound,G5 Sound Rock,3,2870.40,8611.20,N,PT-00265
PA-00801-02,PA-00801,2,2026-08-11,S-04 Drainage Corridor,A.14.010,"Imported granular fill, placed and compacted",m3,Z1 Compound,,349,60.99,21285.51,Y,CT-00373
PA-00801-03,PA-00801,3,2026-08-12,S-04 Drainage Corridor,E.51.010,"Wet weather standby, plant and operator",hour,Z1 Compound,,6,246.00,1476.00,N,MO-00140
PA-00801-04,PA-00801,4,2026-08-09,S-04 Drainage Corridor,A.12.010,General excavation to reduce level,m3,Z1 Compound,G4 Weathered Rock,128,20.64,2641.92,N,
PA-00801-05,PA-00801,5,2026-08-11,S-04 Drainage Corridor,A.14.020,Backfilling to trenches with selected arisings,m3,Z1 Compound,G1 Loose Sand,248,22.40,5555.20,N,
PA-00801-06,PA-00801,6,2026-08-13,S-04 Drainage Corridor,E.51.020,"Traffic management, two-way signals, per day",day,Z1 Compound,,1,684.00,684.00,N,
PA-00801-07,PA-00801,7,2026-08-15,S-04 Drainage Corridor,E.54.010,"Temporary haul road, maintained, per week",week,Z1 Compound,,1,1038.00,1038.00,N,
PA-00801-08,PA-00801,8,2026-08-12,S-04 Drainage Corridor,C.32.010,"Precast manhole, 1200 mm diameter, depth to 3 m",no.,Z1 Compound,G2 Firm Sabkha,2,1825.28,3650.56,N,
PA-00801-09,PA-00801,9,2026-08-11,S-04 Drainage Corridor,B.22.020,"Formwork to soffits, propped, height to 3.5 m",m2,Z1 Compound,,445,91.80,40851.00,N,
PA-00801-10,PA-00801,10,2026-08-11,S-04 Drainage Corridor,B.26.010,"Surface treatment, power float to slabs",m2,Z1 Compound,,40,17.20,688.00,N,
